Time [ms];;;;IR RAW;RED RAW
19;10;26,248;0,011;47547;47651
19;10;26,261;0,013;47536;47636
19;10;26,272;0,011;47577;47665
19;10;26,284;0,012;47581;47646
19;10;26,296;0,012;47577;47661
19;10;26,308;0,012;47590;47668
19;10;26,319;0,011;47586;47648
19;10;26,331;0,012;47600;47652
19;10;26,343;0,012;47616;47674
19;10;26,355;0,012;47605;47687
19;10;26,365;0,01;47617;47684
19;10;26,378;0,013;47635;47681
19;10;26,389;0,011;47646;47691
19;10;26,4;0,011;47636;47678
19;10;26,412;0,012;47686;47706
19;10;26,424;0,012;47695;47715
19;10;26,436;0,012;47713;47738
19;10;26,448;0,012;47725;47736
19;10;26,459;0,011;47741;47733
19;10;26,471;0,012;47772;47734
19;10;26,483;0,012;47788;47755
19;10;26,495;0,012;47794;47743
19;10;26,506;0,011;47773;47743
19;10;26,518;0,012;47756;47732
19;10;26,53;0,012;47693;47688
19;10;26,542;0,012;47600;47625
19;10;26,553;0,011;47398;47557
19;10;26,564;0,011;47370;47521
19;10;26,577;0,013;47324;47512
19;10;26,589;0,012;47337;47500
19;10;26,601;0,012;47318;47522
19;10;26,613;0,012;47294;47524
19;10;26,625;0,012;47303;47525
19;10;26,637;0,012;47329;47538
19;10;26,648;0,011;47335;47515
19;10;26,659;0,011;47349;47527
19;10;26,672;0,013;47345;47534
19;10;26,683;0,011;47353;47541
19;10;26,695;0,012;47360;47552
19;10;26,707;0,012;47357;47562
19;10;26,719;0,012;47372;47561
19;10;26,731;0,012;47388;47553
19;10;26,742;0,011;47402;47560
19;10;26,754;0,012;47410;47568
19;10;26,765;0,011;47412;47568
19;10;26,777;0,012;47407;47561
19;10;26,789;0,012;47401;47561
19;10;26,8;0,011;47385;47550
19;10;26,812;0,012;47372;47548
19;10;26,824;0,012;47357;47545
19;10;26,836;0,012;47360;47539
19;10;26,848;0,012;47369;47541
19;10;26,859;0,011;47344;47535
19;10;26,871;0,012;47360;47555
19;10;26,883;0,012;47372;47535
19;10;26,894;0,011;47381;47547
19;10;26,906;0,012;47394;47551
19;10;26,918;0,012;47395;47575
19;10;26,93;0,012;47397;47574
19;10;26,942;0,012;47412;47564
19;10;26,952;0,01;47447;47597
19;10;26,965;0,013;47470;47590
19;10;26,977;0,012;47495;47634
19;10;26,989;0,012;47507;47618
19;10;27;0,011;47513;47617
19;10;27,12;0,12;47514;47609
19;10;27,24;0,12;47543;47611
19;10;27,35;0,11;47531;47618
19;10;27,47;0,12;47554;47610
19;10;27,58;0,11;47554;47641
19;10;27,71;0,13;47560;47642
19;10;27,82;0,11;47576;47625
19;10;27,93;0,11;47574;47636
19;10;27,105;-0,825;47572;47637
19;10;27,117;0,012;47593;47650
19;10;27,129;0,012;47585;47639
19;10;27,14;0,011;47596;47633
19;10;27,152;0,012;47614;47643
19;10;27,165;0,013;47630;47650
19;10;27,176;0,011;47628;47652
19;10;27,187;0,011;47644;47653
19;10;27,199;0,012;47666;47658
19;10;27,211;0,012;47688;47672
19;10;27,223;0,012;47687;47671
19;10;27,235;0,012;47718;47672
19;10;27,247;0,012;47719;47667
19;10;27,258;0,011;47722;47676
19;10;27,27;0,012;47706;47674
19;10;27,281;0,011;47670;47653
19;10;27,293;0,012;47581;47587
19;10;27,306;0,013;47432;47555
19;10;27,317;0,011;47371;47513
19;10;27,328;0,011;47332;47483
19;10;27,34;0,012;47303;47474
19;10;27,352;0,012;47294;47466
19;10;27,365;0,013;47288;47482
19;10;27,377;0,012;47254;47474
19;10;27,388;0,011;47275;47496
19;10;27,399;0,011;47283;47483
19;10;27,411;0,012;47279;47487
19;10;27,423;0,012;47284;47475
19;10;27,434;0,011;47302;47491
19;10;27,446;0,012;47316;47501
19;10;27,458;0,012;47329;47497
19;10;27,47;0,012;47336;47508
19;10;27,482;0,012;47348;47512
19;10;27,494;0,012;47357;47523
19;10;27,505;0,011;47369;47524
19;10;27,516;0,011;47386;47517
19;10;27,529;0,013;47382;47542
19;10;27,54;0,011;47375;47537
19;10;27,552;0,012;47374;47530
19;10;27,564;0,012;47368;47520
19;10;27,576;0,012;47339;47505
19;10;27,588;0,012;47331;47519
19;10;27,599;0,011;47323;47507
19;10;27,611;0,012;47344;47513
19;10;27,622;0,011;47337;47475
19;10;27,634;0,012;47333;47495
19;10;27,647;0,013;47359;47506
19;10;27,658;0,011;47371;47485
19;10;27,67;0,012;47386;47503
19;10;27,68;0,01;47376;47545
19;10;27,692;0,012;47399;47525
19;10;27,704;0,012;47400;47550
19;10;27,716;0,012;47433;47540
19;10;27,727;0,011;47461;47551
19;10;27,739;0,012;47473;47548
19;10;27,751;0,012;47485;47568
19;10;27,763;0,012;47492;47551
19;10;27,775;0,012;47473;47593
19;10;27,786;0,011;47490;47578
19;10;27,798;0,012;47493;47579
19;10;27,81;0,012;47510;47599
19;10;27,822;0,012;47484;47589
19;10;27,834;0,012;47499;47583
19;10;27,845;0,011;47514;47606
19;10;27,858;0,013;47510;47579
19;10;27,869;0,011;47513;47600
19;10;27,88;0,011;47522;47595
19;10;27,893;0,013;47539;47577
19;10;27,904;0,011;47533;47586
19;10;27,916;0,012;47536;47589
19;10;27,927;0,011;47556;47598
19;10;27,94;0,013;47581;47605
19;10;27,95;0,01;47582;47592
19;10;27,963;0,013;47578;47630
19;10;27,975;0,012;47596;47622
19;10;27,985;0,01;47613;47621
19;10;27,997;0,012;47609;47638
19;10;28,09;0,093;47639;47631
19;10;28,21;0,12;47648;47654
19;10;28,33;0,12;47676;47646
19;10;28,45;0,12;47685;47647
19;10;28,57;0,12;47723;47683
19;10;28,68;0,11;47710;47699
19;10;28,8;0,12;47695;47696
19;10;28,92;0,12;47668;47617
19;10;28,104;-0,816;47580;47586
19;10;28,115;0,011;47479;47537
19;10;28,127;0,012;47352;47461
19;10;28,139;0,012;47278;47460
19;10;28,15;0,011;47250;47455
19;10;28,162;0,012;47216;47434
19;10;28,174;0,012;47216;47432
19;10;28,186;0,012;47206;47422
19;10;28,198;0,012;47211;47413
19;10;28,21;0,012;47197;47421
19;10;28,222;0,012;47189;47416
19;10;28,233;0,011;47206;47418
19;10;28,245;0,012;47223;47417
19;10;28,257;0,012;47206;47425
19;10;28,268;0,011;47189;47431
19;10;28,28;0,012;47209;47428
19;10;28,292;0,012;47208;47432
19;10;28,304;0,012;47204;47428
19;10;28,315;0,011;47223;47449
19;10;28,327;0,012;47230;47446
19;10;28,339;0,012;47242;47454
19;10;28,351;0,012;47234;47456
19;10;28,363;0,012;47261;47473
19;10;28,373;0,01;47225;47450
19;10;28,385;0,012;47226;47454
19;10;28,398;0,013;47226;47436
19;10;28,409;0,011;47216;47428
19;10;28,42;0,011;47218;47434
19;10;28,432;0,012;47202;47438
19;10;28,444;0,012;47217;47436
19;10;28,456;0,012;47227;47437
19;10;28,468;0,012;47231;47462
19;10;28,48;0,012;47228;47442
19;10;28,492;0,012;47254;47442
19;10;28,502;0,01;47267;47470
19;10;28,515;0,013;47270;47455
19;10;28,526;0,011;47283;47467
19;10;28,538;0,012;47302;47487
19;10;28,55;0,012;47312;47470
19;10;28,562;0,012;47323;47474
19;10;28,573;0,011;47340;47486
19;10;28,585;0,012;47356;47480
19;10;28,597;0,012;47360;47503
19;10;28,609;0,012;47358;47506
19;10;28,62;0,011;47395;47513
19;10;28,633;0,013;47391;47509
19;10;28,644;0,011;47402;47509
19;10;28,655;0,011;47414;47514
19;10;28,667;0,012;47445;47517
19;10;28,679;0,012;47423;47533
19;10;28,691;0,012;47446;47523
19;10;28,702;0,011;47438;47522
19;10;28,713;0,011;47438;47543
19;10;28,726;0,013;47456;47521
19;10;28,737;0,011;47475;47556
19;10;28,75;0,013;47461;47545
19;10;28,762;0,012;47473;47552
19;10;28,773;0,011;47487;47556
19;10;28,785;0,012;47489;47565
19;10;28,797;0,012;47507;47554
19;10;28,809;0,012;47533;47571
19;10;28,82;0,011;47550;47581
19;10;28,832;0,012;47555;47595
19;10;28,844;0,012;47568;47603
19;10;28,855;0,011;47579;47597
19;10;28,867;0,012;47601;47589
19;10;28,879;0,012;47627;47610
19;10;28,89;0,011;47649;47622
19;10;28,901;0,011;47640;47600
19;10;28,914;0,013;47593;47582
19;10;28,926;0,012;47523;47528
19;10;28,937;0,011;47439;47490
19;10;28,949;0,012;47288;47420
19;10;28,961;0,012;47250;47406
19;10;28,972;0,011;47200;47384
19;10;28,985;0,013;47163;47377
19;10;28,996;0,011;47156;47383
19;10;29,08;0,084;47170;47375
19;10;29,2;0,12;47149;47377
19;10;29,32;0,12;47141;47385
19;10;29,44;0,12;47158;47387
19;10;29,54;0,1;47169;47377
19;10;29,67;0,13;47176;47376
19;10;29,78;0,11;47177;47372
19;10;29,9;0,12;47184;47396
19;10;29,102;-0,798;47191;47396
19;10;29,113;0,011;47203;47401
19;10;29,125;0,012;47186;47407
19;10;29,137;0,012;47200;47407
19;10;29,149;0,012;47229;47415
19;10;29,16;0,011;47246;47431
19;10;29,172;0,012;47246;47420
19;10;29,184;0,012;47242;47425
19;10;29,196;0,012;47257;47436
19;10;29,207;0,011;47254;47426
19;10;29,219;0,012;47241;47414
19;10;29,232;0,013;47244;47413
19;10;29,243;0,011;47247;47406
